sample_id,sample_date,raw_y,raw_g,raw_total,pab_y,pab_g,pab_total,flb_y,flb_g,flb_total
SLE_01_1A,6/5/2019,57,23,80,0,0,2.5,15,10,25
SLE_01_1B,6/5/2019,37,23,60,50,10,60,0,0,2.5
SLE_01_1C,6/5/2019,157,23,180,28,8,35,0,5,5
SLE_01_2A,6/5/2019,247,223,470,10,13,23,0,0,2.5
SLE_01_2B,6/5/2019,123,233,357,33,20,53,0,0,2.5
SLE_01_2C,6/5/2019,157,180,337,193,33,225,0,0,2.5
SLE_01_3A,6/5/2019,140,210,350,15,13,28,0,0,2.5
SLE_01_3B,6/5/2019,223,473,697,125,85,210,40,30,70
SLE_01_3C,6/5/2019,97,317,413,3,33,35,30,5,35
SLE_02_1A,6/12/2019,197,73,270,45,27,72,3,0,3
SLE_02_1B,6/12/2019,237,193,430,135,50,185,17,17,33
SLE_02_1C,6/12/2019,137,57,193,108,38,147,0,0,2.5
SLE_02_2A,6/12/2019,1587,1520,3107,275,277,552,0,20,20
SLE_02_2B,6/12/2019,1117,623,1740,117,117,233,20,70,90
SLE_02_2C,6/12/2019,1560,1040,2600,95,108,203,273,283,557
SLE_02_3A,6/12/2019,200,273,473,15,52,67,0,3,3
SLE_02_3B,6/12/2019,270,287,557,5,53,58,7,0,7
SLE_02_3C,6/12/2019,403,377,780,58,225,283,7,7,13
SLE_03_1A,6/19/2019,NA,NA,44440,NA,NA,7002.6,307,120,427
SLE_03_1B,6/19/2019,4200,733,4933,1073,233,1307,173,97,270
SLE_03_1C,6/19/2019,NA,NA,44440,2020,200,2220,323,157,480
SLE_03_2A,6/19/2019,1293,1187,2480,362,420,782,43,67,110
SLE_03_2B,6/19/2019,2347,1027,3373,500,560,1060,50,103,153
SLE_03_2C,6/19/2019,1293,1333,2627,402,410,812,3,40,43
SLE_03_3A,6/19/2019,1027,1280,2307,347,1023,1370,47,233,280
SLE_03_3B,6/19/2019,445,755,1200,108,190,298,3,47,50
SLE_03_3C,6/19/2019,413,1027,1440,NA,NA,NA,NA,NA,2.5
SLE_04_1A,6/26/2019,NA,NA,32200,NA,NA,7002.6,NA,NA,6820
SLE_04_1B,6/26/2019,NA,NA,44770,NA,NA,7002.6,NA,NA,3070
SLE_04_1C,6/26/2019,NA,NA,40700,NA,NA,7002.6,NA,NA,1900
SLE_04_2A,6/26/2019,NA,NA,35683,NA,NA,1820,NA,NA,3733.333333
SLE_04_2B,6/26/2019,NA,NA,16267,NA,NA,7002.6,NA,NA,2390
SLE_04_2C,6/26/2019,NA,NA,15700,NA,NA,7002.6,NA,NA,1190
SLE_04_3A,6/26/2019,NA,NA,7650,NA,NA,2380,NA,NA,4106.666667
SLE_04_3B,6/26/2019,NA,NA,8833,NA,NA,2380,NA,NA,1975
SLE_04_3C,6/26/2019,NA,NA,933,NA,NA,536.6666667,NA,NA,30
SLE_05_1A,7/3/2019,NA,NA,NA,NA,NA,NA,NA,NA,NA
SLE_05_1B,7/3/2019,12000,3800,15800,NA,NA,NA,NA,NA,NA
SLE_05_1C,7/3/2019,NA,NA,NA,NA,NA,NA,13100,1900,15000
SLE_05_2A,7/3/2019,2416.666667,6983.333333,9400,1883.333333,1408.333333,3291.666667,3450,2750,6200
SLE_05_2B,7/3/2019,83.33333333,33.33333333,116.6666667,133.3333333,316.6666667,450,50,200,250
SLE_05_2C,7/3/2019,1400,1266.666667,2666.666667,841.6666667,983.3333333,1825,833.3333333,1000,1833
SLE_05_3A,7/3/2019,883.3333333,1050,1933.333333,3000,3366.666667,6366.666667,2283.333333,3716.666667,6000
SLE_05_3B,7/3/2019,1750,2283.333333,4033.333333,791.6666667,1233.333333,2025,716.6666667,1383.333333,2100
SLE_05_3C,7/3/2019,0,100,100,25,0,25,3.333333333,116.6666667,120
SLE_07_1A,7/17/2019,2316.666667,483.3333333,2800,437.5,150,587.5,43.33333333,25,68
SLE_07_1B,7/17/2019,83.33333333,116.6666667,200,29.16666667,8.333333333,37.5,1.666666667,1.666666667,3
SLE_07_1C,7/17/2019,1500,666.6666667,2166.666667,425,206.25,631.25,46.66666667,18.33333333,65
SLE_07_2A,7/17/2019,566.6666667,633.3333333,1200,137.5,162.5,300,0,0,2.5
SLE_07_2B,7/17/2019,383.3333333,816.6666667,1200,54.16666667,183.3333333,237.5,0,0,2.5
SLE_07_2C,7/17/2019,33.33333333,400,433.3333333,16.66666667,66.66666667,83.33333333,0,0,2.5
SLE_07_3A,7/17/2019,16.66666667,100,116.6666667,4.166666667,125,129.1666667,0,0,2.5
SLE_07_3B,7/17/2019,50,50,100,0,16.66666667,16.66666667,3.333333333,8.333333333,12
SLE_07_3C,7/17/2019,16.66666667,350,366.6666667,8.333333333,137.5,145.8333333,10,71.66666667,82
SLE_08_1A,7/24/2019,4033.333333,966.6666667,5000,1017,375,1391.666667,3146.666667,373.3333333,3520
SLE_08_1B,7/24/2019,7966.666667,4500,12466.66667,1817,317,2133.333333,2836.666667,273.3333333,3110
SLE_08_1C,7/24/2019,3666.666667,666.6666667,4333.333333,6200,600,6800,1773.333333,313.3333333,2087
SLE_08_2A,7/24/2019,683.3333333,800,1483.333333,300,458,758.3333333,410,513.3333333,923
SLE_08_2B,7/24/2019,116.6666667,133.3333333,250,42,25,66.66666667,40,120,160
SLE_08_2C,7/24/2019,633.3333333,650,1283.333333,142,308,450,223.3333333,510,733
SLE_08_3A,7/24/2019,16.66666667,0,16.66666667,0,17,16.66666667,6.666666667,76.66666667,83
SLE_08_3B,7/24/2019,0,0,2.5,0,17,16.66666667,0,30,30
SLE_08_3C,7/24/2019,33.33333333,150,183.3333333,8,42,50,26.66666667,130,157
SLE_09_1A,7/31/2019,116.6666667,283.3333333,400,83.33333333,133.3333333,216.6666667,133.3333333,6.666666667,20
SLE_09_1B,7/31/2019,33.33333333,0,33.33333333,NA,NA,NA,NA,NA,NA
SLE_09_1C,7/31/2019,50,66.66666667,116.6666667,NA,NA,NA,NA,NA,NA
SLE_09_2A,7/31/2019,66.66666667,66.66666667,133.3333333,8.333333333,25,33.33333333,25,6.666666667,16.66666667
SLE_09_2B,7/31/2019,33.33333333,50,83.33333333,NA,NA,NA,NA,NA,NA
SLE_09_2C,7/31/2019,16.66666667,16.66666667,33.33333333,NA,NA,NA,NA,NA,NA
SLE_09_3A,7/31/2019,0,16.66666667,16.66666667,0,25,25,25,6.666666667,6.666666667
SLE_09_3B,7/31/2019,66.66666667,50,116.6666667,NA,NA,NA,NA,NA,NA
SLE_09_3C,7/31/2019,16.66666667,83.33333333,100,NA,NA,NA,NA,NA,NA
